partid,rating_s2,n_seeking_s2,n_avoiding_s2,m_risk_s2,s_risk_s2,p_control_s2,p_social_s2,p_situation_s2,med_frequency_s2,p_active_s2,mean_sentiment_s2,n_aspects_s2,m_aspects_s2,s_aspects_s2,remembered,similarity,rating_s1,n_seeking_s1,n_avoiding_s1,m_risk_s1,s_risk_s1,p_control_s1,p_social_s1,p_situation_s1,med_frequency_s1,p_active_s1,mean_sentiment_s1,n_aspects_s1,m_aspects_s1,s_aspects_s1,pred_VUM_s1,pred_VUM_s2,m_similarity_between,m_similarity_within_s1,m_similarity_within_s2,p_overlap_between,p_overlap_within_s1,p_overlap_within_s2,delta_rating,delta_VUM
pbai7dfvr0,8,2,1,7,21,1,0.3333333333333333,1,2,1,-1.3333333333333333,3,0.3333333333333333,1,20,55,8,6,0,32,192,0.6666666666666666,0.5,1,3,0.8333333333333334,0,6,1,6,30.52100276181849,5.025177805707019,2.4814814814814814,2.8444444444444446,2.4444444444444446,0,0,0,0,25.49582495611147
pbo5rcjj99,0,0,10,-22.7,-227,0.2,0.5,1,2,0.8,-2.1,10,-1,-10,57,59,0,0,1,-49,-49,0,1,0,6,1,0,1,-1,-1,-49,-22.63487181371801,3.033333333333333,NA,2.5037037037037035,0,NA,0,0,26.36512818628199
pc6644v8tl,0,1,4,-36,-180,0.5,0.2,0.6,5,0.5,-1.6,5,-0.6,-3,0,49,1,0,6,-41.333333333333336,-248,0.75,0.25,1,5,0.5,-2,6,-1,-6,-40.89487779367743,-36.549775938911104,2.533333333333333,2.311111111111111,2.433333333333333,0,0,0,1,4.345101854766327
pcq03ude4t,6,3,0,21.666666666666668,65,1,0,1,3,1,-0.3333333333333333,3,1,3,64,60,8,4,0,38.75,155,1,0.25,1,2,1,-0.25,4,1,4,39.58207588692462,21.39254456443354,2.1944444444444446,2.7222222222222223,1,0.3333333333333333,0,0,2,18.18953132249108
pcqs85n21b,1,0,4,-47.25,-189,1,0,0.25,1,1,-1,4,-1,-4,58,89,1,0,7,-50,-350,1,0,0,NA,NaN,-0.42857142857142855,7,-1,-7,-50,-47.1114783312074,2.892857142857143,2.7301587301587302,3,0,0,0,0,2.888521668792599
pd3dvjq6g7,8,3,0,50,150,1,0,1,3,1,0,3,1,3,70,70,10,3,0,50,150,1,0,1,3,1,NaN,3,1,3,50,50,3.3703703703703702,3.2222222222222223,3.7777777777777777,0,0,0,2,0
pdk8em8rrq,2,2,1,10.666666666666666,32,0.6666666666666666,1,1,3,0.6666666666666666,-1.6666666666666667,3,0.3333333333333333,1,34,70,2,0,8,-39.75,-318,1,0,0.75,2,0.8571428571428571,-0.75,8,-1,-8,-39.73193132889599,10.757966892230712,3.4583333333333335,3.238095238095238,4,0.3333333333333333,0.125,0.3333333333333333,0,50.4898982211267
pdliik9kne,2,3,2,-6.8,-34,0.6666666666666666,0.4,0.6,4,1,-0.6,5,0.2,1,0,56,3,0,3,-32,-96,1,0,1,3,1,-1,3,-1,-3,-30.716614883590633,-9.38362756936002,2.1777777777777776,1.8888888888888888,1.9333333333333333,0,0,0,1,21.332987314230614
pdqk6hs9e4,1,0,3,-50,-150,1,0.3333333333333333,0.6666666666666666,1.5,1,-2.3333333333333335,3,-1,-3,0,100,1,0,4,-49,-196,1,0,0.25,2.5,1,-2,4,-1,-4,-49.03563495489027,-50,2.111111111111111,2.1666666666666665,2.444444444444444,0,0,0,0,0.9643650451097301
pe142cqfak,1,0,3,-34.333333333333336,-103,1,0.6666666666666666,0.6666666666666666,2,1,-1.3333333333333333,3,-1,-3,2,84,2,0,3,-10.666666666666666,-32,1,0,0,1,0.6666666666666666,-1.6666666666666667,3,-1,-3,-9.791353224115918,-34.7250665317826,3.5555555555555554,3.3333333333333335,3.111111111111111,0,0,0,1,24.933713307666686
pel92bgn51,1,0,4,-43.75,-175,0,0.5,0.5,2,0.5,0.3333333333333333,4,-1,-4,55,74,1,0,5,-42.2,-211,0.6,1,1,1,0.6,-1,5,-1,-5,-42.34540998718685,-43.719940207785086,2.5833333333333335,2.2333333333333334,2.2222222222222223,0,0,0,0,1.3745302205982384
pemvdndov1,4,2,1,8,24,NaN,0,0.3333333333333333,3,1,-2,3,0.3333333333333333,1,0,49,6,1,3,-10.25,-41,0.6666666666666666,0,0.5,4,0.6666666666666666,-1.5,4,-0.5,-2,-8.973233250105611,6.960715831089338,2.5833333333333335,2.1666666666666665,3.6666666666666665,0,0,0,2,15.93394908119495
pf1ok9j6mf,0,3,0,50,150,0.5,0,0,4,1,-2.6666666666666665,3,1,3,0,94,0,0,3,-50,-150,1,0,1,2,1,-1.6666666666666667,3,-1,-3,-50,50,3.7037037037037037,3.2222222222222223,3.5555555555555554,0,0,0,0,100
pf28ih4eu6,10,1,0,50,50,1,0,1,1,0,0,1,1,1,100,100,10,11,0,50,550,1,0,0.5454545454545454,1,1,-0.8181818181818182,11,1,11,50,50,2.606060606060606,2.484848484848485,NA,0,0,NA,0,0
pfg9qmo3qm,3,1,2,-26,-78,0.3333333333333333,0.3333333333333333,1,6,0,-1.3333333333333333,3,-0.3333333333333333,-1,13,75,2,1,4,-24.6,-123,0.6,0.4,0.6,3,0.4,-1.25,5,-0.6,-3,-23.77737409465114,-24.73935859134485,2.1555555555555554,1.7,2.4444444444444446,0,0,0,1,0.9619844966937094
pfr0l0hae0,0,0,3,-48.666666666666664,-146,1,1,0.6666666666666666,2,0.6666666666666666,-0.6666666666666666,3,-1,-3,2,93,1,0,3,-49.333333333333336,-148,1,1,1,2,0,-2,3,-1,-3,-49.40865963021347,-48.59134036978653,2.962962962962963,2.6666666666666665,3.111111111111111,0,0,0,1,0.8173192604269417
pfun3j6ut0,0,0,4,-34.5,-138,0.75,0,0.25,2.5,0.75,-0.5,4,-1,-4,0,69,7,2,1,-0.3333333333333333,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.3333333333333333,-1,3,0.3333333333333333,1,0.8930298164169015,-35.24374110332265,2.5555555555555554,2.7777777777777777,2.7222222222222223,0,0,0,7,36.13677091973955
pg3evmk92s,4,0,3,-28.666666666666668,-86,0.3333333333333333,0,0,4,1,-2,3,-1,-3,0,37,6,2,1,4.333333333333333,13,1,0,0,3,1,-1,3,0.3333333333333333,1,1.4668592210802558,-28.505534009753745,1.9629629629629628,2.333333333333333,1.8888888888888888,0,0,0,2,29.972393230834
pga0e1dm62,8,4,0,28.75,115,1,0.5,0,2,1,-0.75,4,1,4,25,68,7,4,0,21,84,1,0.25,0.25,1.5,1,-1,4,1,4,20.30994169740821,28.98245789675806,3.4583333333333335,3.7777777777777777,3.611111111111111,0,0,0,1,8.67251619934985
pgjsv4g3p0,1,0,3,-50,-150,0.6666666666666666,0,0,1,NaN,0.3333333333333333,3,-1,-3,0,52,1,0,3,-50,-150,0.6666666666666666,0,0,1,NaN,-1,3,-1,-3,-50,-50,3.5555555555555554,3.6666666666666665,2.6666666666666665,0,0,0,0,0
ph81j4b6fb,7,2,1,16.666666666666668,50,1,NaN,1,2,0,-0.6666666666666666,3,0.3333333333333333,1,0,14,3,0,3,-48.666666666666664,-146,1,0,0.5,3,0.6666666666666666,1.3333333333333333,3,-1,-3,-48.528095444145244,13.202386103631127,2.3333333333333335,3,2,0,0,0,4,61.73048154777637
phafivbdml,2,0,3,-38.666666666666664,-116,0,0,0.3333333333333333,2,1,-2.3333333333333335,3,-1,-3,19,71,7,3,1,22.5,90,0.5,0,0.5,3,0.75,-1,4,0.5,2,24.004860579623497,-38.934930356643086,2.5833333333333335,2.7222222222222223,2.888888888888889,0,0,0,5,62.93979093626658
pheqv1o4bi,7,2,1,9.333333333333334,28,1,0,0,3,1,-1.3333333333333333,3,0.3333333333333333,1,10,81,7,2,2,-11.75,-47,1,0,1,1,1,0,4,0,0,-12.407376154406355,10.818899144630848,2.5,2.888888888888889,2,0,0,0,0,23.226275299037205
phf8vg122e,6,0,1,-23,-23,1,0,1,4,1,-1,1,-1,-1,39,59,7,2,1,12,36,0.6666666666666666,0,1,4,0.6666666666666666,-0.3333333333333333,3,0.3333333333333333,1,10.87934884858977,-23,2.111111111111111,2,NA,0,0,NA,1,33.87934884858977
phnc8t6ol9,2,0,3,-50,-150,0.3333333333333333,0,1,3,0.6666666666666666,-0.3333333333333333,3,-1,-3,6,74,1,0,8,-48,-384,0.25,0,0.75,3,0.75,-0.75,8,-1,-8,-47.966430082063425,-50,3.0555555555555554,3.0357142857142856,2.7777777777777777,0.3333333333333333,0,0,1,2.0335699179365747
php3113cce,3,0,3,-26,-78,0,0,0,1,0,-2,3,-1,-3,0,48,4,0,5,-19.4,-97,0.2,0.2,0.6,1,0.6,-1.6,5,-1,-5,-19.397578099927298,-25.159511636442325,2.3333333333333335,2.5666666666666664,1.6666666666666667,0,0.2,0,1,5.761933536515027
phvr676g54,1,0,3,-44.333333333333336,-133,1,0.3333333333333333,0,3,0,-1,3,-1,-3,86,90,1,1,2,-18.666666666666668,-56,1,0,0,3,0,0.3333333333333333,3,-0.3333333333333333,-1,-21.786667301573036,-44.37703716739283,2.5925925925925926,2.555555555555556,2.7777777777777777,0,0,0,0,22.590369865819792
pi2gguep6a,0,0,3,-50,-150,1,0,1,1,0.6666666666666666,-1,3,-1,-3,0,51,0,0,6,-43.333333333333336,-260,0.6666666666666666,0.3333333333333333,0.8333333333333334,3,0.6666666666666666,-1.5,6,-1,-6,-43.38083311085446,-50,2.9074074074074074,1.6666666666666667,3.555555555555556,0,0,0,0,6.619166889145539
pieg7b7s35,4,2,2,-4.5,-18,0,0,0.75,5.5,0.5,-1,4,0,0,11,60,6,2,2,4.25,17,0.25,0,0.5,4,0.25,-1.25,4,0,0,3.1647956508389212,-5.124442764218314,2.7916666666666665,2.6666666666666665,1.7222222222222223,0,0,0,2,8.289238415057234
piheliu2iq,7,2,0,26,52,1,0,0,1,0.5,1.5,2,1,2,37,91,7,1,0,7,7,1,0,0,1,0,0,1,1,1,7,26.193110547360078,3.3333333333333335,NA,4.333333333333333,0,NA,0,0,19.193110547360078
piokq0dfpr,8,2,4,-12.833333333333334,-77,0.25,0,0.6666666666666666,6,1,-1,6,-0.3333333333333333,-2,30,67,7,3,1,18.5,74,1,0.5,0.5,4,1,-0.75,4,0.5,2,21.054737306253248,-10.523990392423201,2.138888888888889,2.2222222222222223,2.577777777777778,0,0,0,1,31.57872769867645
pj761a7mlo,5,3,3,-9.333333333333334,-56,0,0,0,4,NaN,-1,6,0,0,42,33,8,5,1,13.166666666666666,79,0.25,0.16666666666666666,0.3333333333333333,2,0.4,-0.3333333333333333,6,0.6666666666666666,4,12.004422434139045,-8.577286623911059,1.6851851851851851,1.9111111111111112,1.8222222222222222,0,0,0,3,20.5817090580501
pjiokntims,3,1,5,-23.5,-141,1,0,1,3,1,-0.6666666666666666,6,-0.6666666666666666,-4,40,88,3,1,9,-33.5,-335,0.6,0.1,1,3,1,-0.75,10,-0.8,-8,-32.21585827649204,-24.6847652246636,2.5833333333333335,2.762962962962963,3.3555555555555556,0,0,0,0,7.531093051828442
pjkmi6p483,8,1,0,17,17,1,0,1,2,1,0,1,1,1,27,75,7,1,1,-3,-6,1,0,0.5,2,1,-1.5,2,0,0,-4.737994926240713,17,4.333333333333333,3,NA,1,0,NA,1,21.737994926240713
pjnmqtljgr,10,4,0,36.25,145,0.75,0,0.5,3,1,-1.25,4,1,4,23,61,9,4,0,36.25,145,1,0.25,0.25,2.5,1,-1.75,4,1,4,35.49890716986165,35.55082346389734,2.9791666666666665,2.4444444444444446,2.611111111111111,0.25,0,0,1,0.051916294035684984
