partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,remembered,similarity,duration
ph81j4b6fb,32,male,7,2,1,1,0.3333333333333333,16.666666666666668,50,1,NaN,1,2,0,-0.6666666666666666,-1,0,1,3,16,employed,2k_3k,3,0,14,467
phafivbdml,29,male,2,0,3,-3,-1,-38.666666666666664,-116,0,0,0.3333333333333333,2,1,-2.3333333333333335,-3,-1,-1,3,14,employed,2k_3k,3,19,71,175
pheqv1o4bi,45,male,7,2,1,1,0.3333333333333333,9.333333333333334,28,1,0,0,3,1,-1.3333333333333333,-3,0,-1,3,16,employed,5k_x,3,10,81,400
phf8vg122e,57,female,6,0,1,-1,-1,-23,-23,1,0,1,4,1,-1,-1,-1,-1,1,12,employed,1k_2k,1,39,59,173
phnc8t6ol9,28,female,2,0,3,-3,-1,-50,-150,0.3333333333333333,0,1,3,0.6666666666666666,-0.3333333333333333,-2,1,-1,3,18,employed,5k_x,3,6,74,301
php3113cce,34,male,3,0,3,-3,-1,-26,-78,0,0,0,1,0,-2,-3,-1,-1,3,16,selfemployed,0_1k,3,0,48,275
phvr676g54,66,male,1,0,3,-3,-1,-44.333333333333336,-133,1,0.3333333333333333,0,3,0,-1,-2,0,-1,3,12,selfemployed,2k_3k,3,86,90,312
pi2gguep6a,70,female,0,0,3,-3,-1,-50,-150,1,0,1,1,0.6666666666666666,-1,-1,-1,-1,3,14,retired,1k_2k,3,0,51,615
pieg7b7s35,24,female,4,2,2,0,0,-4.5,-18,0,0,0.75,5.5,0.5,-1,-3,1,0.5,4,18,employed,3k_4k,4,11,60,272
piheliu2iq,46,female,7,2,0,2,1,26,52,1,0,0,1,0.5,1.5,1,2,1,2,16,employed,2k_3k,2,37,91,249
piokq0dfpr,50,female,8,2,4,-2,-0.3333333333333333,-12.833333333333334,-77,0.25,0,0.6666666666666666,6,1,-1,-2,0,-1,6,13,employed,1k_2k,6,30,67,652
pj761a7mlo,25,female,5,3,3,0,0,-9.333333333333334,-56,0,0,0,4,NaN,-1,-2,0,-0.6666666666666666,6,19,employed,4k_5k,6,42,33,380
pjiokntims,52,female,3,1,5,-4,-0.6666666666666666,-23.5,-141,1,0,1,3,1,-0.6666666666666666,-4,2,0.6666666666666666,6,18,employed,5k_x,6,40,88,590
pjkmi6p483,25,male,8,1,0,1,1,17,17,1,0,1,2,1,0,0,0,1,1,16,employed,5k_x,1,27,75,300
pjnmqtljgr,19,male,10,4,0,4,1,36.25,145,0.75,0,0.5,3,1,-1.25,-3,0,1,4,13,student,1k_2k,4,23,61,131
pjomiut9f3,20,male,7,9,3,6,0.5,10.083333333333334,121,0.8333333333333334,0,0.4166666666666667,2,0.75,-1.1818181818181819,-6,0,0.3333333333333333,12,13,selfemployed,1k_2k,12,57,54,642
